Title,ISBN,Similarity
Remembering Blue (Ballantine Reader's Circle),0345439244,0.845355841166315
Before Women Had Wings,0399141294,0.8361641351167537
The BODACIOUS BOOK OF SUCCULENCE : DARING TO LIVE YOUR SUCCULENT WILD LIFE,0684833778,0.8233299105178231
Inspiration Sandwich: Stories to Inspire Our Creative Freedom,0890876789,0.8
Creative Companion: How to Free Your Creative Spirit,0890876517,0.7998004987531173
Living Juicy: Daily Morsels for Your Creative Soul,0890877033,0.7996009975062345
Change Your Life Without Getting Out of Bed : The Ultimate Nap Book,0684859300,0.7996009975062345
Transformation Soup : Healing for the Splendidly Imperfect,0684859769,0.7994014962593516
Eat Mangoes Naked : Finding Pleasure Everywhere (and dancing with the Pits),0684859777,0.7992019950124689
Hanna's Daughters (Ballantine Reader's Circle),0345433491,0.4662676641729011
