Title,ISBN,Similarity
"Band of Brothers : E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest",0743216458,0.8599999999999999
"Band of Brothers : E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest",0743464117,0.8599002493765585
The Jester,0446613843,0.5587237787883234
CITIZEN SOLDIERS : THE U S ARMY FROM THE NORMANDY BEACHES TO THE BULGE TO THE SURRENDER OF GERMANY,0684848015,0.5413674147963425
Roses Are Red (Alex Cross Novels),0446605484,0.5
The Beach House,0446612545,0.5
Cradle and All,0446609404,0.5
The Lake House,0316603287,0.5
Four Blind Mice,0446613266,0.5
Suzanne's Diary for Nicholas,0446611085,0.5
