Title,ISBN,Similarity
The Corrections,0374129983,0.6428571428571428
The Corrections,0312984294,0.6427573922337014
Still Me,034543241X,0.6427573922337014
Soul Stories,0743204077,0.6249002493765586
Soul Stories,0743206371,0.6249002493765586
The Corrections: A Novel,0312421273,0.6249002493765586
The Twenty-Seventh City : A Novel (Bestselling Backlist),0312420145,0.5
Die Korrekturen.,3498020862,0.49990024937655864
How to Be Alone: Essays,0374173273,0.49990024937655864
The Dancing Wu Li Masters: An Overview of the New Physics,055326382X,0.49960099750623443
