Title,ISBN,Similarity
Ender's Game (Ender Wiggins Saga (Paperback)),0312853238,0.888888888888889
Children of the Mind (Ender Wiggins Saga (Paperback)),0812522397,0.8886893876420061
Ender's Game (Ender Wiggins Saga (Paperback)),0812550706,0.8884898863951234
Speaker for the Dead (Ender Wiggins Saga (Paperback)),0812550757,0.8884898863951234
Speaker for the Dead (Ender Wiggins Saga (Paperback)),0812532570,0.8882903851482407
Ender's Game (Ender Wiggins Saga (Paperback)),0812533550,0.8880908839013577
Shadow of the Hegemon (Ender Wiggins Saga (Paperback)),0812565959,0.887891382654475
Ender's Game (Ender Wiggins Saga (Paperback)),0765342294,0.8876918814075923
Speaker for Dead Ender #2: Valorous (Ender Wiggins Saga (Paperback)),0812520157,0.8796009975062344
Shadow of the Hegemon (Ender Wiggins Saga (Hardcover)),0312876513,0.859002493765586
