Title,ISBN,Similarity
A Portrait of the Artist As a Young Man (Twentieth-Century Classics),0140186832,0.8996009975062343
A Portrait of the Artist As a Young Man (Penguin Classics),0142437344,0.8994014962593516
A Portrait of the Artist As a Young Man,0553214047,0.8745012468827931
A Portrait of the Artist As a Young Man,0451525442,0.8744014962593517
A Portrait of the Artist As a Young Man,0140042210,0.8742019950124689
A Portrait of the Artist as a Young Man (Penguin Popular Classics),0140622306,0.8635366130129222
A Portrait of the Artist As a Young Man (Dover Thrift Editions),0486280500,0.7724280208569486
Dubliners (Classics Library (NTC)),1853260487,0.6248004987531173
The Dubliners (Penguin Popular Classics),0140622179,0.6110113604876697
Ulysses (Modern Library),0679600116,0.499501246882793
