Title,ISBN,Similarity
"Band of Brothers : E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest",0743216458,0.9125000000000001
"Band of Brothers : E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest",0743464117,0.9123004987531174
The Jester,0446613843,0.8123004987531173
CITIZEN SOLDIERS : THE U S ARMY FROM THE NORMANDY BEACHES TO THE BULGE TO THE SURRENDER OF GERMANY,0684848015,0.8080971484332647
The Wild Blue : The Men and Boys Who Flew the B-24s Over Germany 1944-45,0743203399,0.8
Four Blind Mice,0446613266,0.8
The Big Bad Wolf: A Novel,0316602906,0.8
Roses Are Red (Alex Cross Novels),0446605484,0.8
1st to Die: A Novel,0316666009,0.8
The Beach House,0446612545,0.8
