Title,ISBN,Similarity
Ender's Game (Ender Wiggins Saga (Paperback)),0312853238,0.8076923076923077
Children of the Mind (Ender Wiggins Saga (Paperback)),0812522397,0.8075925570688663
Ender's Game (Ender Wiggins Saga (Paperback)),0812550706,0.807492806445425
Speaker for the Dead (Ender Wiggins Saga (Paperback)),0812550757,0.807492806445425
Speaker for the Dead (Ender Wiggins Saga (Paperback)),0812532570,0.8073930558219836
Ender's Game (Ender Wiggins Saga (Paperback)),0812533550,0.8072933051985421
Shadow of the Hegemon (Ender Wiggins Saga (Paperback)),0812565959,0.8071935545751008
Ender's Game (Ender Wiggins Saga (Paperback)),0765342294,0.8070938039516594
Speaker for Dead Ender #2: Valorous (Ender Wiggins Saga (Paperback)),0812520157,0.7855147844674029
Shadow of the Hegemon (Ender Wiggins Saga (Hardcover)),0312876513,0.7302704776520238
