Title,ISBN,Similarity
Harry Potter and the Chamber of Secrets (Book 2),0439064864,0.890909090909091
Harry Potter and the Chamber of Secrets (Book 2),0439420105,0.8905100884153254
Harry Potter and the Chamber of Secrets Postcard Book,0439425220,0.8829343308395678
Harry Potter et la chambre des secrets,2070524558,0.8500000000000001
Harry Potter and the Prisoner of Azkaban (Book 3),0439136350,0.8461538461538463
Harry Potter and the Goblet of Fire (Book 4),0439139597,0.8461538461538463
Harry Potter and the Prisoner of Azkaban (Book 3),0439136369,0.8459543449069634
Harry Potter and the Sorcerer's Stone (Book 1),043936213X,0.8459543449069634
Harry Potter and the Sorcerer's Stone (Book 1),0590353403,0.8459543449069634
Harry Potter and the Goblet of Fire (Book 4),0439139600,0.8457548436600806
