Title,ISBN,Similarity
Divine Secrets of the Ya-Ya Sisterhood : A Novel,0060173289,0.9
The Divine Secrets of the Ya-Ya Sisterhood: A Novel,0060502258,0.8998004987531172
Divine Secrets of the Ya-Ya Sisterhood,0061015075,0.8794014962593517
Little Altars Everywhere,0060517794,0.8600000000000001
Little Altars Everywhere,0913089257,0.8592019950124689
El Codigo Da Vinci / The Da Vinci Code,8495618605,0.8363636363636364
Deception Point,0743490304,0.8
Angels and Demons,0552150738,0.8
Angels &amp; Demons,0743486226,0.8
Illuminati.,3404148665,0.8
