Title,ISBN,Similarity
Harry Potter and the Chamber of Secrets (Book 2),0439064864,0.8125
Harry Potter and the Chamber of Secrets (Book 2),0439420105,0.8123004987531173
Harry Potter and the Chamber of Secrets Postcard Book,0439425220,0.7939181458119408
Harry Potter et la chambre des secrets,2070524558,0.7
Harry Potter and the Prisoner of Azkaban (Book 3),0439136350,0.6875
Harry Potter and the Goblet of Fire (Book 4),0439139597,0.6875
Harry Potter and the Sorcerer's Stone (Book 1),0590353403,0.6874002493765586
Harry Potter and the Sorcerer's Stone (Book 1),043936213X,0.6874002493765586
Harry Potter and the Prisoner of Azkaban (Book 3),0439136369,0.6874002493765586
Harry Potter and the Goblet of Fire (Book 4),0439139600,0.6873004987531173
