Title,ISBN,Similarity
The Amazing Adventures of Kavalier &amp; Clay: A Novel,0679450041,0.8798004987531173
Snow Falling on Cedars,0151001006,0.866467165419784
The Dream of Scipio,1573229865,0.8442449431975617
Summerland,0786808772,0.8
Wonder Boys : A Novel (Bestselling Backlist),0312140940,0.8
The Immaculate Deception,0743422082,0.8
Death and Restoration (Art History Mystery),0425177424,0.7998004987531173
East of the Mountains (Vintage Contemporaries (Paperback)),0156011042,0.7998004987531173
Werewolves in Their Youth: Stories,0312254385,0.7998004987531173
Giotto's Hand (Art History Mystery),0425173585,0.7998004987531173
