Title,ISBN,Similarity
"Krondor the Assassins (The Riftwar Legacy, Book 2)",0380803232,0.9140862130388316
"Krondor: Tear of the Gods (The Riftwar Legacy, Book 3)",0380795280,0.8994014962593517
"Shadow of a Dark Queen (The Serpentwar Saga, Book 1)",0380720868,0.817383813194287
"Rage of a Demon King (Serpentwar Saga , Vol 3)",0380720884,0.7998004987531173
Rise of a Merchant Prince (Serpentwar Saga),0380720876,0.7994014962593516
Mistress of the Empire,0553561189,0.7988029925187032
Faerie Tale,0553277839,0.7980049875311721
"GIVER, THE (Yearling Books (Paperback))",0440228921,0.45
Superfudge (Yearling Books (Paperback)),0440484332,0.4464089775561097
Blubber (Yearling Books (Paperback)),0440407079,0.4454114713216958
