Title,ISBN,Similarity
Wicked : The Life and Times of the Wicked Witch of the West,0060391448,0.7940178964353821
The Kingdom by the Sea: A Journey Around the Coast of Great Britain,0140071814,0.7776780271543363
Wicked Musical Tie-in Edition : The Life and Times of the Wicked Witch of the West,0060745908,0.7497007481296759
Chang and Eng,0525945121,0.5768233262996355
Lost: A Novel,0060988649,0.57132882080513
Mirror Mirror: A Novel,006039384X,0.5712290701816887
Hotel Honolulu: A Novel,0618219153,0.5665669160432253
Confessions of an Ugly Stepsister : A Novel,0060987529,0.5624002493765586
Lost,0060393823,0.5
The Pillars of Hercules: A Grand Tour of the Mediterranean,0449910857,0.5
