Title,ISBN,Similarity
The Corrections,0374129983,0.8333333333333334
The Corrections,0312984294,0.8331338320864505
Still Me,034543241X,0.8331338320864505
Soul Stories,0743204077,0.8283719273245458
Soul Stories,0743206371,0.8283719273245458
The Corrections: A Novel,0312421273,0.8283719273245458
The Twenty-Seventh City : A Novel (Bestselling Backlist),0312420145,0.8
Die Korrekturen.,3498020862,0.7998004987531173
How to Be Alone: Essays,0374173273,0.7998004987531173
The Dancing Wu Li Masters: An Overview of the New Physics,055326382X,0.7992019950124689
