Title,ISBN,Similarity
The Dance of Intimacy: A Woman's Guide to Courageous Acts of Change in Key Relationships,006091646X,0.8374967343545898
Spell for Chameleon Xanth,0345304225,0.8340971101657622
Magician: Apprentice (Riftwar Saga),0553564943,0.8333333333333334
Castle Roogna (Xanth Novels (Paperback)),0345350480,0.8311799448746555
Dragon on a Pedestal (Xanth Novels (Paperback)),0345349369,0.8309804436277728
Centaur Aisle (Xanth Novels (Paperback)),0345352467,0.8309804436277728
Source of Magic (Xanth Novels (Paperback)),0345350588,0.8309804436277728
Night Mare (Xanth Novels (Paperback)),0345354931,0.8309804436277728
Spell for Chameleon #01,0345317718,0.8223324042834093
Silverthorn (Riftwar Saga),0553270540,0.8222222222222222
