Title,ISBN,Similarity
Wicked : The Life and Times of the Wicked Witch of the West,0060391448,0.8831338320864506
The Kingdom by the Sea: A Journey Around the Coast of Great Britain,0140071814,0.8767235756761942
Wicked Musical Tie-in Edition : The Life and Times of the Wicked Witch of the West,0060745908,0.8660681629260183
Chang and Eng,0525945121,0.8164671654197839
Lost: A Novel,0060988649,0.8151851141377326
Mirror Mirror: A Novel,006039384X,0.8149856128908499
Hotel Honolulu: A Novel,0618219153,0.8140862130388316
Confessions of an Ugly Stepsister : A Novel,0060987529,0.8131338320864505
Lost,0060393823,0.8
The Pillars of Hercules: A Grand Tour of the Mediterranean,0449910857,0.8
