Title,ISBN,Similarity
The Dance of Intimacy: A Woman's Guide to Courageous Acts of Change in Key Relationships,006091646X,0.6597007481296758
Spell for Chameleon Xanth,0345304225,0.6494014962593516
Magician: Apprentice (Riftwar Saga),0553564943,0.6428571428571428
Castle Roogna (Xanth Novels (Paperback)),0345350480,0.6361641351167535
Dragon on a Pedestal (Xanth Novels (Paperback)),0345349369,0.6360643844933122
Night Mare (Xanth Novels (Paperback)),0345354931,0.6360643844933122
Centaur Aisle (Xanth Novels (Paperback)),0345352467,0.6360643844933122
Source of Magic (Xanth Novels (Paperback)),0345350588,0.6360643844933122
Spell for Chameleon #01,0345317718,0.6046646541540884
Silverthorn (Riftwar Saga),0553270540,0.6000000000000001
